title,like_count,author_name,author_link,clean_link,dirty_link,normalized_count,correct_clean_link
海洋不只是日本的,46,小红薯64B63AC4,/user/profile/64b4dfaa000000000b01490d?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board,/explore/6689fa1d000000001e01126f,/search_result/6689fa1d000000001e01126f?xsec_token=ABmIaLI5tKlcM_sAf3ihYpeTuXwID-KjevcEjibllv6CA=&xsec_source=pc_search,46,www.xiaohongshu.com/explore/6689fa1d000000001e01126f
日本远远低估了，核污水排放带来的连锁反应,97,青青子衿,/user/profile/5d96e9dc000000000101b289?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board,/explore/668984cc000000001f00507d,/search_result/668984cc000000001f00507d?xsec_token=ABmIaLI5tKlcM_sAf3ihYpeQF-IjpDjTf-HdO4RrogfRU=&xsec_source=pc_search,97,www.xiaohongshu.com/explore/668984cc000000001f00507d
核污水进入大海，会带来毁灭性的后果。,15,青青子衿,/user/profile/5d96e9dc000000000101b289?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board,/explore/66898003000000001c025f87,/search_result/66898003000000001c025f87?xsec_token=ABmIaLI5tKlcM_sAf3ihYpeQ0KxDKJBflRSrrRyFVQZ7k=&xsec_source=pc_search,15,www.xiaohongshu.com/explore/66898003000000001c025f87
日本核污水排海后，世界都沉默了,11,大发知识共享屋,/user/profile/6684fd6200000000030323ba?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board,/explore/66894127000000001e01050a,/search_result/66894127000000001e01050a?xsec_token=ABmIaLI5tKlcM_sAf3ihYpeeQc_UnmqcP9vBndRDDgQew=&xsec_source=pc_search,11,www.xiaohongshu.com/explore/66894127000000001e01050a
,578,老六户外探险,/user/profile/667059b20000000003032b29?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board,/explore/66892f49000000001e0105c3,/search_result/66892f49000000001e0105c3?xsec_token=ABmIaLI5tKlcM_sAf3ihYpebdAA6BTgJPPZrWUD-tgjP8=&xsec_source=pc_search,578,www.xiaohongshu.com/explore/66892f49000000001e0105c3
不做沉默看客，还世界一个干净的海洋！,24,青青子衿,/user/profile/5d96e9dc000000000101b289?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board,/explore/6688fca3000000001c027422,/search_result/6688fca3000000001c027422?xsec_token=ABxEFk8e265sD2KrpS7pjtvbLlsnv6jaaq91atCjih-h8=&xsec_source=pc_search,24,www.xiaohongshu.com/explore/6688fca3000000001c027422
,60,科目一二次郎,/user/profile/61e9469c00000000100057c1?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board,/explore/6688d3f7000000001c0246ff,/search_result/6688d3f7000000001c0246ff?xsec_token=ABxEFk8e265sD2KrpS7pjtvThFPTz0z1QYwR52nEhrYTU=&xsec_source=pc_search,60,www.xiaohongshu.com/explore/6688d3f7000000001c0246ff
自从排放核废水，一直没消停，地震海啸频频,59,青青子衿,/user/profile/5d96e9dc000000000101b289?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board,/explore/66887a68000000001e010eee,/search_result/66887a68000000001e010eee?xsec_token=ABxEFk8e265sD2KrpS7pjtvbQRUb9qxl917hYG8jqZyAY=&xsec_source=pc_search,59,www.xiaohongshu.com/explore/66887a68000000001e010eee
自从排放核废水，一直没消停，地震海啸频发,385,青青子衿,/user/profile/5d96e9dc000000000101b289?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board,/explore/6687e10e000000001e0125d0,/search_result/6687e10e000000001e0125d0?xsec_token=ABMZGfhtCGOUdvYbnjEFNbPnjhGswrg3BYKWeleAgs_Uw=&xsec_source=pc_search,385,www.xiaohongshu.com/explore/6687e10e000000001e0125d0
日本核污水排海第290天,27,秋,/user/profile/6060561b0000000001000c46?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board,/explore/6687c731000000001e011d42,/search_result/6687c731000000001e011d42?xsec_token=ABMZGfhtCGOUdvYbnjEFNbPpYkQEx47AtBLhIddfIs5CE=&xsec_source=pc_search,27,www.xiaohongshu.com/explore/6687c731000000001e011d42
